start_year,NDX_1x_CAGR,NDX_2x_CAGR,NDX_Gold_CAGR,NDX_2x_maxDD,NDX_Gold_maxDD,winner
1986,0.14287943240368373,0.17195742177993623,0.17543500563289371,-0.9892455124849494,-0.8350730999255824,NDX_Gold_200_daily_USD_standard
1987,0.1446145640283787,0.17501738569123693,0.17618793349385609,-0.9892455124849494,-0.8350730999255828,NDX_Gold_200_daily_USD_standard
1988,0.1456832486194366,0.17972254302758528,0.1733416484485617,-0.9892455124849494,-0.8350730999255827,NDX_2x_USD_standard
1989,0.14595530627811737,0.1802353495677551,0.18113610150534964,-0.9892455124849494,-0.8350730999255825,NDX_Gold_200_daily_USD_standard
1990,0.14292309306264972,0.1740587593864229,0.1837621509488554,-0.9892455124849494,-0.8350730999255825,NDX_Gold_200_daily_USD_standard
1991,0.1507892398226791,0.1911012171567381,0.19723732740128486,-0.9892455124849494,-0.8350730999255822,NDX_Gold_200_daily_USD_standard
1992,0.1388298461814832,0.16648846600941902,0.18950664666236006,-0.9892455124849493,-0.8350730999255824,NDX_Gold_200_daily_USD_standard
1993,0.1403966718780827,0.16877749258399932,0.19681199841239905,-0.9892455124849494,-0.8350730999255829,NDX_Gold_200_daily_USD_standard
1994,0.1414642199998526,0.16958510524621118,0.1960139712766067,-0.9892455124849494,-0.8350730999255827,NDX_Gold_200_daily_USD_standard
1995,0.14572338681481956,0.17723241313752847,0.2038953942323758,-0.9892455124849494,-0.8350730999255825,NDX_Gold_200_daily_USD_standard
1996,0.13753083033301894,0.160564389303544,0.19937462580691023,-0.9892455124849494,-0.8350730999255827,NDX_Gold_200_daily_USD_standard
1997,0.12887362001316705,0.14302974219067055,0.1962666777701172,-0.9892455124849494,-0.8350730999255827,NDX_Gold_200_daily_USD_standard
1998,0.1262456478160472,0.13865644628750506,0.2085012716953878,-0.9892455124849494,-0.8350730999255828,NDX_Gold_200_daily_USD_standard
1999,0.10605221504390339,0.10036054180274956,0.19170939990179026,-0.9892455124849494,-0.8350730999255828,NDX_Gold_200_daily_USD_standard
2000,0.08118758085353606,0.053880203406693195,0.17156479034423944,-0.9892455124849494,-0.8350730999255824,NDX_Gold_200_daily_USD_standard
2001,0.10421543548986678,0.11157721705730217,0.2060927214198287,-0.9535962187116529,-0.663074507946274,NDX_Gold_200_daily_USD_standard
2002,0.12674047814704092,0.16939109599713054,0.2351995060519403,-0.8349472105053981,-0.5538508172481591,NDX_Gold_200_daily_USD_standard
2003,0.1554224761639751,0.23629778903663,0.2625734004678979,-0.8306634621138848,-0.5538508172481587,NDX_Gold_200_daily_USD_standard
2004,0.14269187547633733,0.21109163098187844,0.24290093639556232,-0.830663462113885,-0.5538508172481589,NDX_Gold_200_daily_USD_standard
2005,0.14424547471755478,0.21430015885956122,0.24563739314600297,-0.8306634621138849,-0.5538508172481589,NDX_Gold_200_daily_USD_standard
2006,0.1509322953400669,0.22791800523308026,0.2555335442228335,-0.8306634621138846,-0.5538508172481591,NDX_Gold_200_daily_USD_standard
2007,0.1553563488374483,0.2376612516432679,0.25153673463734805,-0.8306634621138851,-0.5538508172481589,NDX_Gold_200_daily_USD_standard
2008,0.15365427638990692,0.23477753149358715,0.24166219818532286,-0.7945273059826482,-0.5538508172481589,NDX_Gold_200_daily_USD_standard
2009,0.19978804196204414,0.34535914390122113,0.2963287840736919,-0.6394802519499643,-0.42094024766211746,NDX_2x_USD_standard
2010,0.1820408317708453,0.3068253902062761,0.2581575165282288,-0.6394802519499633,-0.42094024766211713,NDX_2x_USD_standard
2011,0.1813445212008733,0.30371464381748225,0.24611786466258234,-0.6394802519499636,-0.42094024766211724,NDX_2x_USD_standard
2012,0.19279884041569306,0.3289491794510042,0.24412124698137894,-0.6394802519499636,-0.42094024766211735,NDX_2x_USD_standard
2013,0.19463250005929567,0.32957230132462634,0.25314067282146624,-0.6394802519499636,-0.42094024766211746,NDX_2x_USD_standard
2014,0.18299551782619639,0.2989961213346586,0.27837982657608795,-0.6394802519499632,-0.4209402476621169,NDX_2x_USD_standard
2015,0.18329998452938345,0.294514924408259,0.2895804738976542,-0.6394802519499637,-0.42094024766211735,NDX_2x_USD_standard
2016,0.19329052388404677,0.3117223218034815,0.325501365248525,-0.6394802519499635,-0.42094024766211735,NDX_Gold_200_daily_USD_standard
2017,0.2083959045760424,0.33892228578387296,0.3380191505261563,-0.6394802519499629,-0.42094024766211713,NDX_2x_USD_standard
2018,0.19632231771210273,0.303406213671118,0.337082596982879,-0.6394802519499634,-0.42094024766211724,NDX_Gold_200_daily_USD_standard
2019,0.22696217508484473,0.36850213332086357,0.4005904797753268,-0.6394802519499633,-0.4209402476621176,NDX_Gold_200_daily_USD_standard
2020,0.20498593496599748,0.3120290248556006,0.3728949371613248,-0.6394802519499638,-0.4209402476621169,NDX_Gold_200_daily_USD_standard
2021,0.16159234088351782,0.22977062971335682,0.3020740937384816,-0.6394802519499636,-0.4209402476621169,NDX_Gold_200_daily_USD_standard
2022,0.13936638717287764,0.1703809402343961,0.3212618768254478,-0.6336792413706518,-0.4081307640454056,NDX_Gold_200_daily_USD_standard
2023,0.32616349835255165,0.5999947690090597,0.6335665946601798,-0.4240285332171031,-0.16076308677274642,NDX_Gold_200_daily_USD_standard
2024,0.24924490809648447,0.4182336707681702,0.6158220042653417,-0.42402853321710365,-0.16076308677274598,NDX_Gold_200_daily_USD_standard
2025,0.24992669115590926,0.4157952288308653,0.6363544117417188,-0.41959880284426854,-0.16076308677274675,NDX_Gold_200_daily_USD_standard
