strategy,cost_case,start,end,days,years,final_wealth,CAGR,annual_vol,geometric_return,arithmetic_return,sharpe_0rf,sortino_0rf,max_drawdown,max_drawdown_date,recovery_days,worst_1y_return,worst_3y_return,worst_5y_return,ruin_or_90pct_drawdown,dd_50pct_episodes,dd_70pct_episodes,dd_80pct_episodes,monthly_win_rate,yearly_win_rate
NDX_2x,low_0.77pct,1986-02-03,2026-07-02,10183,40.407939767282684,631.5071571326861,0.17301259151905124,0.5233283418984399,0.17301259151905124,0.29685884247140826,0.5672516061226784,0.7592125206439624,-0.9891585153779648,2009-03-09,4418,-0.9373278983551897,-0.9813922628534419,-0.9665709811372001,True,33,15,4,0.5967078189300411,0.7560975609756098
NDX_2x,standard_0.86pct,1986-02-03,2026-07-02,10183,40.407939767282684,608.9550333042982,0.17195742177993623,0.5233283418984398,0.17195742177993623,0.2959588424714083,0.5655318444970516,0.7569107826768835,-0.9892455124849494,2009-03-09,4421,-0.937385062758999,-0.9814428049680445,-0.9667216941882467,True,32,15,4,0.5967078189300411,0.7560975609756098
NDX_2x,high_1.00pct,1986-02-03,2026-07-02,10183,40.407939767282684,575.4639756006856,0.1703179254446774,0.5233283418984398,0.1703179254446774,0.2945588424714081,0.5628566597460758,0.7533303013947601,-0.9893794564006575,2009-03-09,4490,-0.9374738819576536,-0.9815211536644436,-0.9669547883319285,True,30,16,9,0.5967078189300411,0.7560975609756098
NDX_Gold_200_daily,low_0.22pct,1986-02-03,2026-07-02,10183,40.407939767282684,700.409663964973,0.17602260447124385,0.29572522096836046,0.17602260447124385,0.20554733706125627,0.6950619104727889,0.968675274420215,-0.8348647920111578,2002-10-07,2020,-0.7124202873880647,-0.7750554083810847,-0.6039092409244429,False,12,16,8,0.6152263374485597,0.6829268292682927
NDX_Gold_200_daily,standard_0.27pct,1986-02-03,2026-07-02,10183,40.407939767282684,686.4068685916128,0.17543500563289371,0.29572522096836046,0.17543500563289371,0.20504733706125639,0.6933711517395208,0.9663189430557,-0.8350730999255824,2002-10-07,2023,-0.7125648613695117,-0.7753934193269186,-0.6048993330999966,False,12,17,8,0.6152263374485597,0.6829268292682927
NDX_Gold_200_daily,high_0.50pct,1986-02-03,2026-07-02,10183,40.407939767282684,625.5140299826911,0.17273581521570058,0.29572522096836046,0.17273581521570058,0.20274733706125636,0.6855936615664858,0.9554940602390604,-0.8360279423171594,2002-10-07,2611,-0.7132289698266867,-0.7769417481962728,-0.6094220009669529,False,12,17,9,0.6131687242798354,0.6829268292682927
NDX_Gold_200_daily,true_cost_0.75pct,1986-02-03,2026-07-02,10183,40.407939767282684,565.4365121982909,0.16980891442369161,0.29572522096836046,0.16980891442369161,0.2002473370612564,0.6771398679001436,0.9437682192237817,-0.8370595553751004,2002-10-07,2611,-0.7139490935223565,-0.7786126267235052,-0.6142792910868404,False,17,16,9,0.6131687242798354,0.6829268292682927
NDX_Gold_200_daily,true_cost_1.00pct,1986-02-03,2026-07-02,10183,40.407939767282684,511.1286298309151,0.16688928963257887,0.29572522096836046,0.16688928963257887,0.19774733706125627,0.668686074233801,0.9320409832652102,-0.8380846883315322,2002-10-07,2612,-0.7146674160513561,-0.7802710055298494,-0.6190762225548571,False,16,16,11,0.6131687242798354,0.6829268292682927
NDX_2x_JPY_hedged,standard_plus_rate_diff,1986-02-03,2026-07-02,10183,40.407939767282684,173.63155809213126,0.13612328361439818,0.5233320992678169,0.13612328361439818,0.2649089063032849,0.5061965560184699,0.6775507521283035,-0.9916726651056084,2009-03-09,5594,-0.9401745163639658,-0.983235749345785,-0.9706665342878947,True,38,6,6,0.5864197530864198,0.7073170731707317
