period,start,end,strategy,period_return,max_drawdown,recovery_days,stock_gold_corr,gold_return,vol_drag_proxy
1987_black_monday,1987-08-25,1987-12-31,NDX_1x_USD,-0.2541054038571696,-0.3993265048407465,,-0.051030959142750396,0.07760532150776056,0.024577380952380948
1987_black_monday,1987-08-25,1987-12-31,Gold_1x_USD,0.07760532150776056,-0.0024937655860348684,61.0,-0.051030959142750396,0.07760532150776056,0.024577380952380948
1987_black_monday,1987-08-25,1987-12-31,NDX_2x_USD_standard,-0.5118985234516417,-0.6666533324237807,,-0.051030959142750396,0.07760532150776056,0.024577380952380948
1987_black_monday,1987-08-25,1987-12-31,NDX_Gold_200_daily_USD_standard,-0.21338498823647234,-0.40192960196681027,,-0.051030959142750396,0.07760532150776056,0.024577380952380948
1990_recession,1990-07-02,1990-12-31,NDX_1x_USD,-0.15906231653107372,-0.32898692013973485,,0.0811425697114992,0.02168021680216814,0.040795634920634906
1990_recession,1990-07-02,1990-12-31,Gold_1x_USD,0.02168021680216814,-0.045569620253164356,,0.0811425697114992,0.02168021680216814,0.040795634920634906
1990_recession,1990-07-02,1990-12-31,NDX_2x_USD_standard,-0.34406547921614206,-0.5693821318408581,,0.0811425697114992,0.02168021680216814,0.040795634920634906
1990_recession,1990-07-02,1990-12-31,NDX_Gold_200_daily_USD_standard,-0.1738403185296027,-0.29607505329558104,,0.0811425697114992,0.02168021680216814,0.040795634920634906
2000_2002_dotcom,2000-03-24,2002-10-09,NDX_1x_USD,-0.8267569550832288,-0.8289721195477737,,-0.006159492668142464,0.06380000000000097,0.11413928571428619
2000_2002_dotcom,2000-03-24,2002-10-09,Gold_1x_USD,0.06380000000000097,-0.13173333333333304,365.0,-0.006159492668142464,0.06380000000000097,0.11413928571428619
2000_2002_dotcom,2000-03-24,2002-10-09,NDX_2x_USD_standard,-0.986899359134993,-0.9872213069377053,,-0.006159492668142464,0.06380000000000097,0.11413928571428619
2000_2002_dotcom,2000-03-24,2002-10-09,NDX_Gold_200_daily_USD_standard,-0.8330401365602212,-0.8350730999255827,,-0.006159492668142464,0.06380000000000097,0.11413928571428619
2007_2009_gfc,2007-10-09,2009-03-09,NDX_1x_USD,-0.5174551371541095,-0.5370615190845824,,-0.03222729579092895,0.22631159736102568,0.033952777777777735
2007_2009_gfc,2007-10-09,2009-03-09,Gold_1x_USD,0.22631159736102568,-0.16632231404958686,,-0.03222729579092895,0.22631159736102568,0.033952777777777735
2007_2009_gfc,2007-10-09,2009-03-09,NDX_2x_USD_standard,-0.8196956041255237,-0.8306634621138846,,-0.03222729579092895,0.22631159736102568,0.033952777777777735
2007_2009_gfc,2007-10-09,2009-03-09,NDX_Gold_200_daily_USD_standard,-0.420364577379452,-0.5538508172481588,,-0.03222729579092895,0.22631159736102568,0.033952777777777735
2011_euro_debt,2011-04-29,2011-10-03,NDX_1x_USD,-0.13480227395327682,-0.16105371475612296,,0.04882759427231566,0.24525650035137003,0.003852380952380956
2011_euro_debt,2011-04-29,2011-10-03,Gold_1x_USD,0.24525650035137003,0.0,0.0,0.04882759427231566,0.24525650035137003,0.003852380952380956
2011_euro_debt,2011-04-29,2011-10-03,NDX_2x_USD_standard,-0.27882715605686315,-0.3087742286939936,,0.04882759427231566,0.24525650035137003,0.003852380952380956
2011_euro_debt,2011-04-29,2011-10-03,NDX_Gold_200_daily_USD_standard,0.07486921600802887,-0.16126266117245314,12.0,0.04882759427231566,0.24525650035137003,0.003852380952380956
2018_q4,2018-09-20,2018-12-24,NDX_1x_USD,-0.21240347541894067,-0.22838420236872925,,0.19716880047388816,0.015515806988352754,0.008245238095238064
2018_q4,2018-09-20,2018-12-24,Gold_1x_USD,0.015515806988352754,0.0,0.0,0.19716880047388816,0.015515806988352754,0.008245238095238064
2018_q4,2018-09-20,2018-12-24,NDX_2x_USD_standard,-0.39916522092157214,-0.422620997990383,,0.19716880047388816,0.015515806988352754,0.008245238095238064
2018_q4,2018-09-20,2018-12-24,NDX_Gold_200_daily_USD_standard,-0.20576515634350523,-0.22128219543430128,,0.19716880047388816,0.015515806988352754,0.008245238095238064
2020_covid,2020-02-19,2020-03-23,NDX_1x_USD,-0.27237118112525704,-0.28032880839368934,,,0.0,0.001530158730158819
2020_covid,2020-02-19,2020-03-23,Gold_1x_USD,0.0,0.0,0.0,,0.0,0.001530158730158819
2020_covid,2020-02-19,2020-03-23,NDX_2x_USD_standard,-0.5059904813690477,-0.5166325073508047,,,0.0,0.001530158730158819
2020_covid,2020-02-19,2020-03-23,NDX_Gold_200_daily_USD_standard,-0.2730846600081349,-0.280974770982921,,,0.0,0.001530158730158819
2022_inflation,2021-12-31,2022-12-30,NDX_1x_USD,-0.3341229890864382,-0.35283669569991594,,0.08513178706946715,-0.05323819978046074,0.028902777777777736
