rho,gold_mu_threshold
-0.8,0.03988776793394849
-0.775,0.04078580229634432
-0.75,0.041683836658740134
-0.7250000000000001,0.04258187102113595
-0.7000000000000001,0.04347990538353176
-0.675,0.044377939745927575
-0.65,0.04527597410832339
-0.625,0.046174008470719216
-0.6000000000000001,0.04707204283311503
-0.5750000000000001,0.047970077195510843
-0.55,0.04886811155790666
-0.525,0.049766145920302485
-0.5,0.0506641802826983
-0.47500000000000003,0.05156221464509411
-0.45,0.052460249007489926
-0.42500000000000004,0.05335828336988574
-0.4,0.05425631773228157
-0.375,0.05515435209467738
-0.35000000000000003,0.056052386457073194
-0.325,0.05695042081946901
-0.30000000000000004,0.05784845518186482
-0.275,0.05874648954426065
-0.25,0.05964452390665646
-0.22499999999999998,0.06054255826905228
-0.19999999999999996,0.06144059263144809
-0.17500000000000004,0.062338626993843904
-0.15000000000000002,0.06323666135623973
-0.125,0.06413469571863555
-0.09999999999999998,0.06503273008103136
-0.07499999999999996,0.06593076444342717
-0.050000000000000044,0.06682879880582299
-0.025000000000000022,0.06772683316821881
0.0,0.06862486753061463
0.025000000000000022,0.06952290189301044
0.050000000000000044,0.07042093625540627
0.07499999999999996,0.07131897061780208
0.09999999999999998,0.0722170049801979
0.125,0.07311503934259371
0.15000000000000002,0.07401307370498952
0.17500000000000004,0.07491110806738535
0.19999999999999996,0.07580914242978117
0.2250000000000001,0.07670717679217698
0.25,0.07760521115457279
0.2749999999999999,0.0785032455169686
0.30000000000000004,0.07940127987936443
0.32499999999999996,0.08029931424176025
0.3500000000000001,0.08119734860415606
0.375,0.08209538296655187
0.40000000000000013,0.0829934173289477
0.42500000000000004,0.08389145169134352
0.44999999999999996,0.08478948605373933
0.4750000000000001,0.08568752041613514
0.5,0.08658555477853096
0.5250000000000001,0.08748358914092678
0.55,0.0883816235033226
0.575,0.08927965786571841
0.6000000000000001,0.09017769222811423
0.625,0.09107572659051004
0.6500000000000001,0.09197376095290587
0.675,0.09287179531530168
0.7,0.0937698296776975
0.7250000000000001,0.09466786404009331
0.75,0.09556589840248912
0.7750000000000001,0.09646393276488495
0.8,0.09736196712728076
